Scan_ID,Subj_ID,Gender,Age1,Age2,Group,SubGrp,A_NoDoub_mean_abs,O_CenSpat_mean_abs,C_InconCon_mean_abs,A_NoDoub_mean_rate,O_CenSpat_mean_rate,C_InconCon_mean_rate,RT_Con_No_mean,RT_Con_Cent_mean,RT_Con_Doub_mean,RT_Con_Spat_mean,RT_Incon_No_mean,RT_Incon_Cent_mean,RT_Incon_Doub_mean,RT_Incon_Spat_mean,ACC_Con_No,ACC_Con_Cent,ACC_Con_Doub,ACC_Con_Spat,ACC_Incon_No,ACC_Incon_Cent,ACC_Incon_Doub,ACC_Incon_Spat,ACC_mean,RT_mean,RT_ACC,NoRespFreq,CleanFreq,CBDA_Ind_c1A_fdr0545,CBDA_Ind_c2O_fdr0545,CBDA_Ind_c3E_fdr0545
16-12-24.3CBDPC,161,2,9.94,10,CBDC,CBDPC,94.1765,48.9037,73.93,162.8377,-11.7939,92.7568,626.5536,541,514.375,573.3571,689.2143,634.1875,623.1964,609.2917,0.9375,0.8125,1,0.875,0.8125,0.9375,0.9375,0.875,0.89844,603.2695111,669.3790904,0.078125,0.10938,-5.13E-01,1.46E-01,-1.11E-01
16-12-24.4CBDPC,162,1,7.95,8,CBDC,CBDPC,10.3128,36.4003,75.41,-6.652,54.1324,125.929,719.4554,696.875,690.375,607.0417,753.9286,715.869,765.0833,772.8452,0.9375,0.75,0.9375,0.875,0.875,0.8125,0.8125,0.8125,0.85156,723.1636889,839.8517427,0.10938,0.14375,2.57E-01,-2.16E-01,-4.78E-02
16-12-25.1CBDPC,163,2,11.17,11,CBDC,CBDPC,56.5829,7.0821,87.4696,76.7426,-18.1439,83.7726,593.75,528.625,502.3482,507.1161,637.6518,625.8125,578.1875,607.375,0.875,1,0.9375,0.9375,0.9375,0.9375,1,0.9375,0.94531,577.5962333,605.7359623,0.0625,0.06875,-1.23E-02,6.77E-02,2.91E-01
16-12-25.2CBDHC,20,1,11,11,CBDC,CBDHC,-4.6348,20.5942,97.1573,104.2281,56.6532,140.4244,657.1071,650.4643,629.0268,657.1875,740.7054,741.5119,781.2946,721.6339,0.9375,0.9375,0.9375,1,0.9375,0.8125,0.9375,0.9375,0.92969,699.3812778,750.1064199,0.072917,0.078125,4.83E-01,7.99E-01,5.00E-01
16-12-25.3CBDHC,21,2,10.23,10,CBDC,CBDHC,88.991,36.5582,38.872,63.4325,49.3438,52.2154,736.625,626.5268,590.8929,617.1875,664.8661,715.3125,698.5714,637.5625,1,0.9375,0.9375,1,0.9375,1,0.875,1,0.96094,655.6716333,687.8089033,0.020833,0.04375,-1.05E-01,-3.48E-01,9.16E-02
16-12-25.3CBDPC,165,2,10.36,10,CBDC,CBDPC,53.4682,63.1707,57.8675,167.7938,75.9307,200.3695,671.4167,649.0625,570.75,533.4375,678.875,657.9286,645.2024,636.9,0.875,1,1,1,0.875,0.8125,0.8125,0.75,0.89063,629.5080778,707.8658786,0.098958,0.11563,1.68E-01,1.89E-01,4.15E-01
16-12-27.1CBDPC,168,2,8.22,8,CBDC,CBDPC,49.4784,61.653,60.1191,-79.5774,359.7919,-121.4562,653.1143,705.1667,634.325,645.8333,775.7875,758.3286,684.6571,670.2857,0.75,0.5625,0.5625,0.75,0.8125,0.75,0.75,0.9375,0.73438,692.7775778,940.8443517,0.17188,0.2625,5.83E-03,-1.11E-01,-3.44E-01
16-12-27.2CBDPC,169,2,7.55,8,CBDC,CBDPC,73.793,45.9919,72.1307,217.7929,-54.8569,407.9709,776.4,727.4143,700.7143,678.15,859.2857,795.75,730.9583,769.8929,0.625,0.75,0.875,0.6875,0.625,0.5625,0.6875,0.6875,0.6875,760.0350556,1097.921,0.28125,0.3,9.81E-02,-1.06E-01,5.44E-02
16-12-28.2CBDPC,173,1,8.85,9,CBDC,CBDPC,104.6789,26.4799,42.6859,106.0092,150.5106,88.1177,756.7232,698.3333,612,606.3571,746.6071,694.4286,672.5429,721.2857,0.9375,0.625,0.8125,0.875,0.8125,0.8125,0.75,0.75,0.79688,690.0308778,864.0381707,0.098958,0.2,9.37E-02,-5.62E-03,2.85E-01
16-12-28.4CBDPC,175,2,9.05,9,CBDC,CBDPC,36.1524,21.2211,84.6512,171.1875,262.5755,824.9696,809.4167,700.125,753.0536,699.5625,855.619,805.1429,774.4286,861.3333,0.5625,0.5625,0.6875,0.75,0.625,0.5625,0.5625,0.3125,0.57813,791.0201778,1353.216751,0.34896,0.40313,2.19E-01,1.10E-01,4.60E-02
16-12-29.2CBDPC,177,1,9.15,9,CBDC,CBDPC,92.1674,102.6665,84.0905,283.7692,121.2421,210.684,716.125,622.2262,613.6518,525.4,721.0417,732.9643,711.9167,628.1714,0.75,0.8125,0.9375,0.8125,0.625,0.8125,0.75,0.75,0.78125,648.2774556,843.439536,0.125,0.2,1.50E-01,-1.94E-01,1.17E-01
16-12-31.1CBDPC,180,1,11.23,11,CBDC,CBDPC,61.1966,42.1255,82.078,73.7628,43.957,93.2782,601,505.75,509.5625,482.875,618.9375,613.875,573.4375,577.8571,0.9375,1,1,1,1,1,1,0.875,0.97656,560.5882889,573.8631779,0.015625,0.05,1.88E-01,8.14E-01,4.78E-01
16-12-31.2CBDPC,181,2,9.85,10,CBDC,CBDPC,11.7977,44.8299,48.7039,361.1687,619.3683,458.5067,709.6333,675.85,655.7381,648.1667,720.325,733.125,743,674.75,0.5,0.5625,0.8125,0.75,0.5625,0.375,0.5,0.5,0.57031,692.1209,1218.764378,0.40104,0.43438,7.14E-02,-1.28E-01,-3.83E-01
16-12-31.3CBDPC,182,1,9.64,10,CBDC,CBDPC,74.2874,13.8431,-1.1545,44.369,29.0963,66.9439,640.6875,662.7857,594.5714,604.5357,669.0714,623.9107,625.625,614.3482,1,0.9375,0.875,0.9375,0.8125,0.9375,0.75,0.9375,0.89844,625.3650667,700.5943079,0.078125,0.10938,3.34E-01,5.59E-01,1.37E-01
17-01-12.2CBDHC,23,2,11.1,11,CBDC,CBDHC,33.9466,14.0168,72.1633,34.4343,42.6592,103.7746,570.875,578.375,575.75,586.4375,675.375,649.5,647.0446,621.0625,1,1,1,1,1,0.875,0.9375,1,0.97656,611.3521778,627.7673159,0.015625,0.034375,1.60E-01,-2.45E-01,1.27E-01
17-01-12.3CBDHC,24,1,9.61,10,CBDC,CBDHC,41.7381,-5.503,98.764,76.1727,-17.3743,216.2155,623.2232,617.0625,611.0417,572.5625,708.1,661,703.2054,736.15,0.9375,1,0.875,1,0.6875,0.875,0.9375,0.8125,0.89063,661.7328111,734.3601299,0.041667,0.09375,2.36E-01,5.92E-01,1.74E-01
17-01-14.1CBDHC,25,1,9.18,9,CBDC,CBDHC,43.8692,26.0396,61.2981,-30.5063,7.5021,203.487,701.8661,642.7143,648.5,642.1875,724.0476,700.5,737.8167,727.1875,0.9375,0.875,1,1,0.8125,1,0.6875,0.75,0.88281,694.4799667,782.2775711,0.067708,0.10938,-1.24E-01,6.10E-01,3.18E-01
17-01-14.3CBDHC,27,2,8.44,8,CBDC,CBDHC,62.6366,25.0893,40.7363,68.5472,42.1848,17.4737,730.7946,682.0833,628.6875,646.8958,764.3036,718.5179,705.8661,664.5625,0.9375,0.875,1,0.875,0.9375,0.9375,0.9375,1,0.9375,688.6345889,738.89484,0.052083,0.065625,1.12E-01,-8.28E-01,-6.82E-02
17-01-15.3CBDHC,30,2,10.33,10,CBDC,CBDHC,29.1986,76.265,8.0375,34.3968,28.6539,60.6211,545.2768,611.125,585.0714,511.2946,593.1429,561.3571,586.8571,516.7857,0.9375,1,0.9375,0.9375,0.9375,0.875,0.875,0.8125,0.91406,560.7122889,616.8783504,0.041667,0.08125,2.26E-01,5.47E-01,5.71E-01
17-01-15.3CBDPC,186,2,11.08,11,CBDC,CBDPC,-34.0784,-30.6583,-0.57489,-128.409,-91.2406,-25.535,620,595,701.8667,615.9286,636.6875,600.5833,639.6429,630.0625,0.875,0.9375,0.6875,0.875,1,0.75,0.875,0.875,0.85938,626.5301667,733.0534077,0.125,0.1625,3.68E-02,3.80E-01,3.40E-01
17-01-16.2CBDPC,188,1,8.52,9,CBDC,CBDPC,40.3864,45.7876,95.5023,-3.6497,60.3462,252.5784,637.6905,673.5714,561.75,559.5167,711.1042,723.75,730.75,668.131,0.8125,0.875,0.75,0.6875,0.6875,0.625,0.625,0.8125,0.73438,653.6682,896.3792247,0.18229,0.24062,-8.92E-02,-7.64E-02,2.64E-01
17-01-17.3CBDPC,194,1,7.71,8,CBDC,CBDPC,22.0592,24.0522,51.7606,41.5638,42.5742,115.5254,691.5714,670.625,672.625,672.9375,779.2292,706.5571,796.5833,646.1875,0.875,1,1,0.875,0.875,0.75,0.875,1,0.90625,699.0073333,777.4228966,0.072917,0.0875,4.46E-01,5.36E-01,-1.66E-01
17-01-18.2CBDPC,197,2,7.33,7,CBDC,CBDPC,46.5575,91.1692,74.6125,97.3863,157.4052,172.1189,652.3571,610.5238,663.9375,586.6518,757.0714,733.875,704.5,624.3,0.9375,0.8125,1,0.9375,0.875,0.9375,0.75,0.75,0.875,663.1351778,761.8880857,0.072917,0.13125,3.23E-02,-2.84E-02,-3.72E-01
17-01-19.2CBDPC,200,1,9.29,9,CBDC,CBDPC,29.8132,-13.0447,41.884,183.3466,-29.6446,6.9099,688.2381,662.3125,676.9643,693.5982,712.0238,713.2857,727.9107,722.25,0.8125,0.875,0.8125,0.9375,0.8125,0.875,0.9375,1,0.88281,699.3703667,792.4388175,0.125,0.13437,3.04E-01,4.07E-01,1.77E-01
17-01-19.3CBDPC,201,1,9.45,9,CBDC,CBDPC,71.5086,62.7906,72.9388,88.2891,112.042,111.1255,650.6071,609.25,578.5,545.0893,715.8661,681.3571,691.125,623.5,0.9375,1,1,0.9375,0.9375,0.875,0.875,1,0.94531,635.7827333,673.7597455,0.041667,0.0625,2.83E-01,5.89E-01,6.01E-01
17-01-20.1CBDPC,203,1,9.55,10,CBDC,CBDPC,-41.1538,68.6062,69.0082,-114.7767,74.5294,4.8198,681.6667,772.75,732.3333,653.3333,739.1667,782.5333,812.25,770.2,0.375,0.625,0.4375,0.75,0.5,0.6875,0.5625,0.625,0.57031,740.3037,1302.851366,0.41146,0.425,5.89E-02,3.35E-01,-5.85E-02
17-01-20.2CBDPC,204,2,9.52,10,CBDC,CBDPC,42.8989,39.4485,39.4145,232.3123,-25.865,104.3504,707.5,722.75,698.9821,657.1161,802.9857,700.7083,715.6964,726.275,0.75,1,0.9375,0.9375,0.75,0.875,0.9375,0.8125,0.875,717.7792889,818.8590857,0.083333,0.11563,1.14E-01,1.60E-01,-4.66E-02
17-01-20.3CBDPC,205,2,9.38,9,CBDC,CBDPC,45.1639,88.5892,51.7124,-46.1327,135.4653,232.1119,712.875,692.0714,697.5,665.8036,786.25,752.8333,699.1607,731.6429,0.875,0.9375,0.75,0.9375,0.8125,0.75,0.6875,0.75,0.8125,727.0707667,882.7902923,0.20313,0.20313,-2.41E-01,-6.67E-01,1.83E-01
17-01-21.1CBDHC,36,1,9.13,9,CBDC,CBDHC,35.5817,77.0512,87.9498,72.6518,53.4625,256.6769,676,650.9464,604.5625,575.1429,734.4143,722.5571,760.4524,637.3,0.9375,0.9375,1,0.875,0.75,0.75,0.8125,0.8125,0.85938,670.7084,779.8319137,0.041667,0.125,-1.89E-01,-3.81E-02,1.02E-01
17-01-22.1CBDHC,38,2,8.12,8,CBDC,CBDHC,67.0535,69.4511,71.3685,162.727,154.3277,196.8533,797.2143,699.3214,652.2143,673.1875,850.275,821.3333,784.25,677.6696,0.8125,0.8125,0.875,1,0.5625,0.875,0.75,0.9375,0.82813,737.7461556,898.9327461,0.15625,0.17813,1.97E-01,5.61E-01,2.07E-01
17-01-23.1CBDHC,39,1,8.21,8,CBDC,CBDHC,43.5044,19.7627,84.4417,-28.122,11.9585,139.918,660.8095,521.4464,587.3214,537.1875,672.7857,666.0714,739.3,605.6071,0.8125,0.9375,0.8125,0.9375,0.875,0.875,0.625,0.9375,0.85156,620.531,732.5568662,0.057292,0.14687,2.15E-03,-4.21E-01,2.25E-01
17-02-15.1CBDPC,207,2,8.37,8,CBDC,CBDPC,42.5772,85.8343,68.4169,201.8411,186.1001,-40.2877,713.6667,693.8375,643.7143,622.0417,750.5625,754.5625,745.7946,683.625,0.625,0.8125,0.875,0.875,0.875,0.875,0.9375,0.9375,0.85156,696.6727556,823.166424,0.13021,0.15625,3.50E-01,5.21E-02,-2.53E-01
17-02-16.1CBDPC,209,2,9.04,9,CBDC,CBDPC,59.8182,100.3853,42.8468,120.6342,82.3054,87.2954,598.3452,645.4375,630.4018,558.2589,720.8333,700.7625,636.2143,584.9107,0.8125,1,0.9375,0.9375,0.875,0.8125,0.875,0.9375,0.89844,626.1015778,706.1078369,0.083333,0.10312,2.63E-01,-1.47E-01,1.16E-01
17-02-17.1CBDPC,212,1,9.09,9,CBDC,CBDPC,42.8142,65.3234,95.8202,150.798,75.2533,180.1858,632.0833,618.4643,616.4048,634.3125,778.7083,752.4821,688.4,648.6667,0.75,0.8125,0.8125,0.875,0.625,0.9375,0.75,0.75,0.78906,668.5857778,850.6200416,0.17708,0.19375,2.35E-03,-6.72E-01,3.16E-01
17-02-18.1CBDHC,48,1,9.09,9,CBDC,CBDHC,27.7244,-21.3528,47.2005,56.8606,-36.8241,61.247,613.5625,634.25,575.5,617.7143,685.9286,613.5089,659.0625,644.375,0.9375,1,1,0.875,0.875,0.9375,0.9375,1,0.94531,632.5724222,666.9639854,0.046875,0.05625,4.55E-01,-2.30E-01,1.87E-01
17-02-18.3CBDPC,217,2,8.64,9,CBDC,CBDPC,57.4054,54.4338,68.9567,176.2689,40.9227,88.7073,606.3542,606.2143,527.0625,543.8375,656.8286,641.0982,651.8929,617.7708,0.875,0.875,1,0.8125,0.75,0.9375,0.9375,0.875,0.88281,605.451,686.8775558,0.083333,0.10625,-2.21E-01,3.55E-01,-2.62E-01
17-02-25.1CBDHC,49,2,9.33,9,CBDC,CBDHC,62.4371,16.3007,43.2616,98.9231,15.8971,70.0187,572.8571,665.875,547.3839,661,735.6339,623.9911,647.2083,624.9196,0.875,1,0.9375,1,0.9375,0.9375,0.875,0.9375,0.9375,631.7076556,677.18252,0.036458,0.05625,-3.17E-01,-7.04E-01,2.67E-01
17-02-25.1CBDPC,219,2,9.43,9,CBDC,CBDPC,69.0977,70.5548,48.5689,156.7966,235.9917,60.648,700.9167,718.0833,683.2292,630.9286,754.2857,739.375,732.2946,702.4375,0.875,0.875,0.875,0.875,0.875,0.625,0.9375,1,0.86719,705.2556222,816.0770131,0.11979,0.1375,-1.50E-01,1.41E-01,-1.82E-01
17-02-25.2CBDPC,220,1,8.96,9,CBDC,CBDPC,101.1473,19.9447,76.6652,75.3646,147.1979,151.7374,703.869,653.25,565.9732,605.0714,736.4792,684.75,680.5,714.1607,0.8125,0.625,0.9375,0.75,0.875,0.6875,0.75,0.6875,0.76563,672.1726111,872.4928327,0.19792,0.24688,-2.85E-01,2.34E-02,6.80E-01
17-02-25.3CBDPC,221,2,9.7,10,CBDC,CBDPC,23.9945,32.9246,97.6235,54.3838,108.9562,128.6269,714.125,725.7857,672.5667,710.7143,830.75,809.2024,775.9571,778.875,0.875,0.75,0.6875,0.875,0.625,0.8125,0.75,1,0.79688,759.3584667,943.9903436,0.19271,0.20938,3.26E-01,8.44E-01,-3.20E-02
17-02-26.1CBDPC,222,2,8.61,9,CBDC,CBDPC,25.7944,53.6679,100.4908,160.3368,424.452,266.8826,744.65,671.3833,677.975,594.4571,813.125,718.75,813.5833,687.5833,0.5625,0.6875,0.5625,0.75,0.5,0.5625,0.6875,0.6875,0.625,708.0007778,1144.3014,0.38021,0.3875,2.80E-01,5.02E-01,3.05E-01
17-04-03.1CBDPC,236,1,8.62,9,CBDC,CBDPC,97.5338,94.9119,26.5145,272.1075,270.8015,157.799,697.3286,667.7857,584.7143,546.2667,738.875,683.6607,653.325,589.0536,0.75,0.75,0.875,0.6875,0.5,0.6875,0.5625,0.9375,0.71875,639.8066222,897.566887,0.22917,0.27812,5.48E-01,-1.37E-01,3.66E-01
17-04-03.2CBDPC,237,2,8.96,9,CBDC,CBDPC,3.4805,63.6692,64.6871,-29.6863,1.4164,114.8469,656.0536,693.375,726.3304,622.1905,750.1905,764.8304,735.0208,719.1429,0.9375,1,0.9375,0.8125,0.8125,0.9375,0.875,0.875,0.89844,709.5704556,788.4686373,0.10938,0.1125,9.84E-02,-1.07E-01,-1.09E-01
17-04-04.4CBDPC,241,2,8.42,8,CBDC,CBDPC,45.5537,10.687,99.7275,157.4357,36.3655,299.1077,613.3143,600.9048,631.0625,561.1071,721.6429,693.2143,655.1667,729.8333,0.75,0.8125,0.875,0.9375,0.875,0.6875,0.6875,0.5625,0.77344,659.5828778,841.4107591,0.21875,0.225,8.88E-02,-4.55E-01,8.68E-02
17-04-08.1CBDPC,242,2,10.96,11,CBDC,CBDPC,15.4353,22.6709,78.0569,41.85,50.8061,164.6229,501.9018,464.5,433.4,445.6875,553.25,524.1333,529.7232,499.2292,0.9375,1,0.8125,0.9375,0.75,0.6875,0.9375,0.875,0.86719,497.2583333,569.6307903,0.09375,0.12812,5.40E-02,3.12E-01,2.84E-01
17-04-08.3CBDPC,244,1,9.42,9,CBDC,CBDPC,10.3121,27.7772,65.5589,11.6516,-12.4498,118.3769,536.6607,542.1786,485.1625,556.7875,578.5333,615.3571,624.9881,554.5119,0.9375,0.8125,0.8125,0.8125,0.6875,0.8125,0.8125,0.8125,0.8125,560.2699667,691.4122615,0.13021,0.17813,1.86E-01,5.73E-01,-2.36E-01
17-04-09.1CBDPC,246,2,7.62,8,CBDC,CBDPC,16.9013,1.5798,38.0639,-23.6266,1.244,174.9817,700.1143,738.2857,693.6339,726,776.9286,722.5357,754.675,752.5833,0.75,0.875,0.9375,0.875,0.875,0.8125,0.5625,0.75,0.80469,731.8062778,911.0273055,0.1875,0.19687,4.16E-01,3.07E-02,-7.31E-02
17-04-16.2CBDPC,249,2,10.16,10,CBDC,CBDPC,44.35,24.032,1.501,79.1416,-32.8986,140.7912,598.4167,552.8125,577.2589,531.2,607.3143,551.2,533.8214,533.381,0.75,1,0.9375,0.8125,0.75,0.8125,0.5625,0.8125,0.80469,557.3783111,696.759746,0.19271,0.2125,2.23E-01,-3.55E-01,1.10E-01
17-04-16.3CBDPC,251,1,8.83,9,CBDC,CBDPC,0.50728,43.8204,66.8331,143.2458,91.9311,96.9961,672.6333,735.1667,697.4286,737.8958,820.6667,790.5833,767.4167,750.3429,0.6875,0.6875,0.875,0.875,0.6875,0.75,0.875,0.75,0.77344,747.2371111,965.1902539,0.1875,0.20937,3.50E-01,3.21E-01,2.14E-02
17-04-16.4CBDPC,252,1,8.32,8,CBDC,CBDPC,54.5338,18.3601,89.2199,42.6404,-6.5972,85.8673,621.4167,616.7143,625.9821,605.6042,701.5893,703.7321,690.375,687.881,0.875,0.875,0.9375,0.875,0.9375,0.9375,0.9375,0.8125,0.89844,662.6438556,730.8911419,0.072917,0.10625,3.33E-01,5.56E-01,-4.97E-01
17-04-16.5CBDPC,253,1,10.65,11,CBDC,CBDPC,77.0537,18.071,38.5935,17.3437,72.5566,93.7455,683.9286,622.9554,539.9881,569.9167,680,612.3125,623.2667,631.6429,0.875,0.9375,0.8125,0.875,0.8125,0.8125,0.6875,0.9375,0.84375,617.2789889,735.4090222,0.14063,0.1625,1.08E-01,4.84E-02,5.89E-01
17-04-22.1CBDPC,256,1,9.39,9,CBDC,CBDPC,37.6728,76.0611,97.3972,162.9443,214.2427,271.2143,693.2833,711.7571,634.8,660.25,838.5893,772.4,798.5417,676.2667,0.6875,0.75,0.8125,0.75,0.6875,0.5625,0.6875,0.6875,0.70313,716.5153444,1028.595014,0.26563,0.29063,3.30E-01,7.03E-02,-3.16E-01
17-04-22.2CBDPC,257,1,8.17,8,CBDC,CBDPC,59.9978,0.74008,108.4914,438.4353,-88.2326,439.1599,618.3333,612.4167,555.75,643.0357,760.4,749.3667,703.8,699.8333,0.375,0.75,0.5625,0.6875,0.4375,0.5,0.6875,0.5,0.5625,669.5484111,1187.319044,0.40625,0.425,-2.00E-01,-5.78E-01,-1.93E-01
17-04-23.1CBDHC,54,1,9.11,9,CBDC,CBDHC,59.8656,48.5847,67.1693,32.2507,33.1483,148.318,720.3125,664.8125,618.25,563.0625,693.1429,704,721.8571,720.8542,0.9375,1,1,1,0.9375,0.875,0.875,0.875,0.9375,682.4490778,720.8388933,0.041667,0.059375,1.98E-01,4.29E-02,7.66E-03
17-04-23.1CBDPC,259,2,9.18,9,CBDC,CBDPC,77.3631,16.479,58.3287,202.4034,-105.528,79.5752,622.0333,608.8125,572.25,585.8333,692.9,674.5119,627.5833,634.3333,0.6875,1,0.6875,0.75,0.6875,0.8125,0.8125,0.8125,0.78125,625.6952889,802.921216,0.20833,0.22187,3.11E-01,-2.52E-01,2.35E-02
17-04-23.4CBDHC,57,2,7.36,7,CBDC,CBDHC,77.0999,103.1343,27.8229,118.2393,27.1624,70.6126,759.0714,752.625,635.3571,649.0625,784.1429,754.9643,707.5804,661.7143,0.875,1,0.875,1,0.875,0.9375,0.9375,0.8125,0.91406,702.5019889,780.1071456,0.026042,0.08125,-8.26E-03,3.92E-01,-4.08E-01
17-04-29.1CBDPC,263,2,6.72,7,CBDC,CBDPC,23.5847,24.1231,99.9929,112.3671,-19.2812,475.9096,567.9167,562.8429,546.6667,513.6625,664.4286,618.425,703.0714,631.4286,0.625,0.75,0.8125,0.8125,0.6875,0.5625,0.625,0.5,0.67188,603.1602667,894.5872775,0.072917,0.29688,5.27E-01,3.58E-01,2.06E-03
17-04-29.4CBDPC,266,2,7.92,8,CBDC,CBDPC,63.4149,132.8,87.829,-13.8729,564.8616,490.7766,683.2667,785.5714,743.875,619.25,847.75,777.8333,773.1667,725.9286,0.6875,0.6875,0.5625,0.625,0.5,0.4375,0.6875,0.5625,0.59375,741.0713,1254.029832,0.32292,0.4125,1.71E-01,2.72E-01,-1.59E-02
17-04-29.5CBDPC,267,2,7.99,8,CBDC,CBDPC,31.8406,82.949,86.6019,61.781,151.9399,237.8027,595.1429,583.2143,546.1875,493,628.1905,662.0333,649.3667,641.6905,0.875,0.6875,1,0.75,0.8125,0.6875,0.6875,0.625,0.76563,602.7028556,783.4766304,0.23438,0.24375,2.51E-01,-3.88E-01,4.97E-01
17-04-30.1CBDHC,60,1,7.86,8,CBDC,CBDHC,-2.197,70.88,15.9619,103.4376,201.3229,150.5029,699.375,781.9571,768.5833,677.0208,757.875,783.5167,758.8857,699.05,0.75,0.75,0.75,0.875,0.625,0.6875,0.75,0.6875,0.73438,737.4181778,1008.718851,0.15625,0.25,-4.47E-02,1.19E-01,-7.31E-02
17-04-30.2CBDHC,61,2,11.75,12,CBDC,CBDHC,50.0701,57.0829,55.1519,164.6499,126.6504,104.3335,583.7857,604.1429,502,553.125,623.8667,607.9732,644.5268,557.9375,0.9375,0.875,1,1,0.6875,0.9375,0.9375,1,0.92188,582.5675333,634.214567,0.046875,0.090625,-3.21E-01,3.63E-01,4.34E-01
17-04-30.3CBDHC,62,1,7.67,8,CBDC,CBDHC,95.9701,61.2901,39.8373,205.8459,179.434,269.7614,697.6071,684.8214,594.5714,638.0625,731.3929,727.25,649.9405,691.3333,0.9375,0.9375,0.9375,1,0.6875,0.6875,0.8125,0.75,0.84375,681.2199,802.2191259,0.0625,0.16562,1.28E-01,1.93E-01,6.26E-02
17-04-30.4CBDHC,63,2,7.31,7,CBDC,CBDHC,41.049,-6.5158,103.1788,13.0429,-9.0219,168.594,651.6875,569,649.8125,616.4911,760.0625,696.6429,714.6786,728.4196,1,1,1,0.9375,1,0.875,0.8125,0.9375,0.94531,680.1716333,712.3053152,0.020833,0.053125,4.40E-01,1.32E-01,-3.10E-01
17-05-11.1CBDHC,67,1,9.36,9,CBDC,CBDHC,34.3992,-16.8442,18.8429,51.5406,91.4266,110.5509,617,618,604.3333,684.0804,695.7292,686.5,605.2143,666.0417,1,0.9375,0.875,0.9375,0.875,0.6875,0.875,0.875,0.88281,648.8221,733.0143094,0.10938,0.13125,3.90E-01,-5.52E-02,-4.56E-01
17-05-20.1CBDPC,268,2,8.16,8,CBDC,CBDPC,80.9678,90.6439,24.4527,247.9778,70.0942,-20.0812,760.2,744.2321,666.6042,647.9857,766.5286,765.8661,715.6667,676.8393,0.75,0.9375,0.875,0.75,0.75,0.9375,0.875,0.9375,0.85156,712.7414111,843.1470918,0.16667,0.15937,1.74E-01,1.97E-01,-3.91E-02
17-05-28.2CBDPC,273,2,7.16,7,CBDC,CBDPC,82.1952,36.6687,32.6481,-15.3382,156.6806,-109.4666,771.4167,738.7083,674.375,681.1667,796.7708,761.0833,704.9625,734.8452,0.75,0.625,0.625,0.75,0.875,0.75,0.8125,0.8125,0.75,732.8976111,977.2214167,0.21875,0.25,9.45E-02,-1.96E-01,-3.66E-01
17-06-03.2CBDPC,275,1,7.98,8,CBDC,CBDPC,60.7962,58.7147,32.6463,94.4096,115.9159,9.1801,758.8571,727.1042,719.75,683.6875,799.2946,801.8125,738.875,707.125,0.9375,0.875,1,1,0.9375,1,1,1,0.96875,738.4728778,766.0007613,0.03125,0.0375,2.80E-01,-4.41E-01,1.22E-01
17-06-17.2CBDPC,279,1,8.16,8,CBDC,CBDPC,80.1259,45.7503,49.4676,275.021,151.5588,119.7526,711.7,672.1714,595.7857,622.8661,684.4643,728.4405,645.1786,671.4143,0.5625,0.75,0.875,0.9375,0.6875,0.8125,0.6875,0.75,0.75781,666.1134333,879.5115035,0.098958,0.22812,3.40E-01,-3.26E-01,-5.40E-02
17-06-24.1CBDPC,282,1,10.11,10,CBDC,CBDPC,64.8106,62.8653,64.2124,169.7308,-30.8346,143.8576,706.2571,699.6429,701.7381,606.2708,778.9,766.8571,704.6042,738.4107,0.75,0.9375,0.8125,0.875,0.75,0.875,0.875,0.6875,0.82031,713.8534333,868.982595,0.17188,0.19375,2.91E-01,-1.94E-01,2.43E-01
17-07-08.4CBDPC,287,1,9.78,10,CBDC,CBDPC,66.1755,61.2108,50.0833,3.824,109.9901,101.2137,655.4732,647.1,607.9375,610.375,707.0893,728.5833,617.6667,651.9881,0.9375,0.8125,0.9375,0.8125,0.9375,0.75,0.75,0.8125,0.84375,649.9959,774.2537926,0.14583,0.15,3.11E-01,6.46E-01,-8.83E-02
17-07-17.1CBDHC,71,1,7.19,7,CBDC,CBDHC,94.5319,64.2668,58.9848,210.0139,84.3768,142.9647,804.2286,727.2946,735.375,641.9375,829.7292,735,786.5952,773.5208,0.75,0.9375,1,1,0.875,0.8125,0.8125,0.875,0.88281,757.3812111,854.3289185,0.09375,0.10313,-5.31E-01,-3.92E-02,-6.22E-02
17-07-17.2CBDHC,72,2,9.95,10,CBDC,CBDHC,43.2671,9.5932,-16.2336,73.8579,46.3862,40.4217,745.9911,693.7143,681.2857,696.0089,704.5714,692.6429,679.0476,681.8571,0.9375,0.875,0.8125,0.9375,0.75,0.875,0.8125,0.875,0.85938,693.1243333,810.9216819,0.036458,0.14063,-4.24E-02,-2.22E-01,-6.95E-03
17-07-17.3CBDHC,73,2,8.98,9,CBDC,CBDHC,17.7199,35.9236,112.001,-31.6163,23.888,200.7389,623.2917,649.8929,562.25,590.0625,707.5714,746.9911,707.25,741.4286,0.875,0.9375,1,1,0.875,0.9375,0.75,0.875,0.90625,675.5264667,734.9983724,0.067708,0.10312,5.51E-01,-6.17E-01,5.64E-01
17-07-23.3CBDHC,76,1,9.15,9,CBDC,CBDHC,86.3144,52.6757,53.13,160.6665,96.2604,129.1905,678.4821,590.85,564.375,610.1964,728.1786,683.0952,651.9375,598.7083,0.9375,0.8125,1,0.9375,0.8125,0.8125,0.875,0.875,0.88281,635.1470111,722.9504508,0.0625,0.10938,2.40E-01,4.01E-01,3.81E-01
