Scan_ID,Subj_ID,Gender,Age1,Age2,Group,SubGrp,A_NoDoub_mean_abs,O_CenSpat_mean_abs,C_InconCon_mean_abs,A_NoDoub_mean_rate,O_CenSpat_mean_rate,C_InconCon_mean_rate,RT_Con_No_mean,RT_Con_Cent_mean,RT_Con_Doub_mean,RT_Con_Spat_mean,RT_Incon_No_mean,RT_Incon_Cent_mean,RT_Incon_Doub_mean,RT_Incon_Spat_mean,ACC_Con_No,ACC_Con_Cent,ACC_Con_Doub,ACC_Con_Spat,ACC_Incon_No,ACC_Incon_Cent,ACC_Incon_Doub,ACC_Incon_Spat,ACC_mean,RT_mean,RT_ACC,NoRespFreq,CleanFreq,CBDA_Ind_c1A_fdr0545,CBDA_Ind_c2O_fdr0545,CBDA_Ind_c3E_fdr0545
16-08-29.1CBDPC,80,1,7.24,7,CBDC,CBDPC,25.1694,37.7293,76.7065,82.8293,136.9934,215.292,751.8214,709.1548,668.9375,690.875,792.9286,795.3929,816.6667,730.1429,0.8125,0.8125,0.9375,0.9375,0.8125,0.6875,0.75,0.8125,0.82031,742.1299778,907.5714974,0.15104,0.18438,-2.82E-01,-1.93E-01,-3.14E-01
16-08-29.2CBDPC,81,2,8.17,8,CBDC,CBDPC,38.856,14.1561,91.0556,804.5538,-97.9018,185.2154,681,678.0625,663.3833,651.375,775.75,743.1667,817.4833,651.1667,0.1875,0.75,0.6875,0.625,0.4375,0.625,0.6875,0.5,0.5625,701.1541667,1258.086111,0.40625,0.42188,4.09E-01,-2.51E-01,-1.61E-01
16-08-30.1CBDPC,83,1,8.53,9,CBDC,CBDPC,51.6535,78.1557,120.8498,58.71,13.3028,126.8501,708.9048,686.4554,644.2321,608.1667,806.4911,803.5714,781.9375,722.5833,0.8125,0.9375,0.9375,0.75,0.9375,0.9375,0.8125,0.8125,0.86719,721.2602556,830.6055046,0.11458,0.13437,4.90E-01,-2.37E-01,-1.42E-01
16-08-30.2CBDPC,84,2,8.55,9,CBDC,CBDPC,8.4174,88.424,9.9352,-3.4721,116.2399,92.2573,719.3333,789.2143,774.8571,633.5893,768.6857,731.8929,748.5625,713.1667,0.875,0.875,0.8125,0.9375,0.75,0.8125,0.75,0.875,0.83594,731.2002,879.1453035,0.10417,0.14063,1.67E-01,-6.95E-01,-4.40E-01
16-08-30.4CBDPC,86,2,10.54,11,CBDC,CBDPC,34.4229,57.4487,70.246,37.1873,52.348,97.1478,620.4018,648.125,598.4375,543.5714,700.25,662.2857,663.0714,647.1339,0.9375,1,1,0.875,0.9375,0.875,0.9375,0.9375,0.9375,636.3918556,677.7702267,0.072917,0.08125,5.10E-01,2.44E-01,1.08E-01
16-09-03.2CBDPC,89,1,8.29,8,CBDC,CBDPC,83.6211,18.9693,60.721,-145.3966,-310.0168,26.3208,703.4286,730.3571,689.3,662.3571,808.6905,710.8333,770.2,785.625,0.8125,0.8125,0.5625,0.5625,0.8125,0.75,0.75,0.5625,0.70313,737.8101778,1041.911098,0.31771,0.30938,-1.51E-01,1.12E-01,2.34E-01
16-09-03.5CBDPC,92,2,10.5,10,CBDC,CBDPC,77.9449,80.9135,-3.249,87.031,156.0217,-29.1779,699.9286,650,644.8125,600.2143,706.5625,664.0714,634.9018,560.9167,0.875,0.75,0.9375,0.9375,1,0.875,0.9375,0.8125,0.89063,636.9064222,724.4040455,0.11979,0.12188,5.08E-01,6.92E-01,1.57E-01
16-09-04.1CBDPC,94,1,9.3,9,CBDC,CBDPC,4.8305,6.9312,65.4656,102.0846,88.7269,121.8968,647.0625,553.875,564.7857,608.0952,605.1833,610.4375,733.7714,658.6875,0.8125,0.5625,0.9375,0.8125,0.6875,0.75,0.75,0.875,0.77344,623.9609,805.152646,0.13542,0.20938,4.28E-01,-2.03E-02,2.70E-01
16-09-11.1CBDPC,97,2,8.13,8,CBDC,CBDPC,54.7761,83.3949,101.8615,71.9791,71.5244,142.1051,725.4196,662.25,652.125,604.5,778.7768,774.9643,768.2679,709.875,0.9375,1,1,1,0.9375,0.9375,0.9375,0.9375,0.96094,706.6865111,738.362775,0.03125,0.0375,1.50E-01,-1.18E-01,1.97E-01
16-09-11.2CBDPC,98,2,7.94,8,CBDC,CBDPC,73.9404,63.361,64.8718,102.6945,228.7105,78.5612,739.1125,711.7917,641.525,633.5,789.0833,794,712.1667,725.8839,0.8125,0.875,0.8125,0.8125,0.8125,0.75,0.875,0.9375,0.83594,717.2570111,859.3713514,0.16667,0.175,3.49E-01,-2.94E-01,-3.18E-02
