Scan_ID,Conds,Grp_CBD_Comm_fdr05_r00_all,Grp_CBD_Comm_fdr05_r01_fef_b,Grp_CBD_Comm_fdr05_r02_spl_b,Grp_CBD_Speci_fdr05_r01_ai_b,Grp_CBD_Speci_fdr05_r02_dacc_r,Grp_CBD_Speci_fdr05_r03_tpj_r
17-09-24.2CBDHA,c23,5.097215e-01,9.487219e-01,2.704059e-01,1.961836e-01,-6.721960e-01,-2.271780e-01
17-05-20.2CBDHA,c23,5.774842e-01,4.713212e-01,6.355378e-01,6.913709e-01,-2.867603e-03,7.442816e-02
17-06-30.5CBDHA,c23,4.928455e-01,2.478114e-01,5.298855e-01,6.676092e-01,5.519609e-01,2.927273e-01
17-09-23.1CBDPA,c23,6.260047e-01,1.024570e+00,4.387743e-01,4.604013e-01,8.679343e-01,6.350046e-01
17-05-21.4CBDHA,c23,4.233020e-01,7.390898e-01,4.113128e-01,5.686144e-01,4.836284e-01,8.582769e-01
17-06-22.1CBDPA,c23,-5.003215e-01,-1.891795e-01,-6.081129e-01,-2.710369e-01,6.473597e-01,-2.505686e-01
17-06-11.1CBDHA,c23,2.877850e-01,-4.274319e-02,2.044647e-01,-7.984708e-01,-2.359030e-01,8.599037e-01
17-09-16.2CBDHA,c23,-1.397251e-01,2.006973e-01,-3.749351e-02,3.603642e-01,1.074519e-02,-5.257705e-01
17-09-16.1CBDPA,c23,-2.949032e-01,1.129180e-02,-3.276960e-01,4.218266e-01,7.150838e-01,-1.712508e-01
17-09-17.2CBDHA,c23,-5.079692e-02,6.414450e-02,-6.598176e-02,-2.372609e-01,1.248372e+00,5.022015e-01
17-09-17.3CBDHA,c23,-7.226455e-02,2.458035e-03,-6.530564e-02,1.818519e-01,-2.073667e-01,-2.291000e-01
17-05-20.2CBDPA,c23,3.173997e-01,3.821964e-01,4.870396e-01,-6.001965e-01,-5.304788e-01,-9.433325e-01
17-07-02.3CBDPA,c23,3.205476e-01,1.198475e-01,5.312885e-01,3.808284e-01,1.330135e+00,7.319979e-01
17-05-20.4CBDPA,c23,3.235542e-01,2.701832e-01,3.707874e-01,4.786375e-01,3.290912e-01,-2.553414e-02
17-06-13.4CBDHA,c23,7.741724e-01,-9.026073e-02,6.710176e-01,-3.394620e-01,-5.584656e-02,-1.325754e+00
17-07-01.4CBDHA,c23,-2.232746e-01,2.279841e-01,-4.693585e-01,-1.793661e-01,-2.430576e-01,-4.969513e-01
17-07-02.1CBDHA,c23,5.648436e-01,5.664475e-01,4.335636e-01,6.009904e-02,9.783105e-01,7.275434e-01
17-05-28.2CBDPA,c23,-7.108818e-02,-1.137423e-01,1.124757e-01,-1.265215e-01,-1.674793e-01,1.291583e-01
17-07-02.5CBDPA,c23,-2.541668e-01,-1.204394e+00,3.420287e-01,-9.867790e-01,-1.350663e+00,-6.467156e-01
17-06-24.4CBDHA,c23,-6.014177e-01,-7.166141e-01,-5.213943e-01,-4.679917e-01,-6.375514e-01,3.048979e-01
17-06-22.4CBDPA,c23,1.029968e+00,8.377510e-01,1.315115e+00,-2.663425e-01,6.314894e-01,4.273088e-01
17-07-01.3CBDHA,c23,8.602810e-01,1.146107e+00,8.725866e-01,-1.985130e-02,-6.702307e-02,7.783685e-01
17-09-17.1CBDHA,c23,6.707028e-01,3.357280e-01,5.563583e-01,2.270488e-01,7.641306e-01,9.761818e-01
17-06-30.4CBDHA,c23,2.664627e-01,4.634576e-01,-9.917043e-03,-2.547850e-01,1.141533e-01,-1.445521e-01
17-09-24.1CBDHA,c23,2.277272e-01,4.106388e-01,3.468616e-03,-2.452268e-01,-2.160106e-01,-4.542683e-01
17-06-24.1CBDHA,c23,3.795274e-01,7.661602e-01,2.707837e-01,2.043815e-01,1.487825e-01,-8.696428e-01
