Scan_ID,Conds,Grp_CBD_Comm_fdr05_r00_all,Grp_CBD_Comm_fdr05_r01_fef_b,Grp_CBD_Comm_fdr05_r02_spl_b,Grp_CBD_Speci_fdr05_r01_ai_b,Grp_CBD_Speci_fdr05_r02_dacc_r,Grp_CBD_Speci_fdr05_r03_tpj_r
17-09-24.2CBDHA,c13,7.122292e-01,9.464456e-01,7.685429e-01,-1.300811e-01,-1.099718e+00,-1.483344e-01
17-05-20.2CBDHA,c13,-8.793859e-02,3.275408e-01,-1.445222e-01,2.514056e-01,1.926245e-01,-7.509517e-01
17-06-30.5CBDHA,c13,5.764492e-01,-1.644049e-01,7.430618e-01,-3.439164e-01,4.860764e-01,-6.143093e-01
17-09-23.1CBDPA,c13,1.442747e-01,5.020209e-01,4.466112e-02,-5.025102e-02,-4.463307e-01,-1.023561e+00
17-05-21.4CBDHA,c13,3.524416e-01,2.195259e-01,4.540950e-01,-5.569252e-01,1.594487e-01,1.097783e+00
17-06-22.1CBDPA,c13,-2.095860e-01,7.878954e-02,-2.106718e-01,9.437461e-02,5.493949e-01,2.016837e-01
17-06-11.1CBDHA,c13,1.132182e-01,5.381662e-01,1.658912e-01,3.751274e-01,-5.000494e-02,1.099271e+00
17-09-16.2CBDHA,c13,3.923941e-02,-5.378564e-01,4.304647e-01,-1.619599e-01,-1.150609e+00,8.955935e-03
17-09-16.1CBDPA,c13,-5.992669e-02,4.126509e-01,3.715424e-01,-9.432943e-01,-5.220063e-01,-4.125596e-01
17-09-17.2CBDHA,c13,2.731853e-01,6.065393e-01,-6.843520e-03,-2.919048e-01,-5.695679e-01,-4.969620e-01
17-09-17.3CBDHA,c13,8.189569e-01,9.051702e-01,8.280065e-01,-2.164813e-01,-3.034108e-01,1.256526e-01
17-05-20.2CBDPA,c13,1.997635e-01,1.526120e-01,-5.943968e-02,5.165201e-01,5.480320e-01,-3.213802e-01
17-07-02.3CBDPA,c13,-2.817915e-01,1.725365e-01,-1.224796e-01,3.291481e-01,5.634628e-01,-2.020827e-02
17-05-20.4CBDPA,c13,1.983817e-01,2.042480e-01,1.572190e-01,2.658493e-01,4.796104e-01,1.932155e-01
17-06-13.4CBDHA,c13,5.169704e-01,-1.812922e-02,4.011624e-01,-5.655898e-01,-1.480374e+00,1.761306e-01
17-07-01.4CBDHA,c13,1.441286e-01,7.818443e-01,2.081093e-02,-3.125876e-01,6.345124e-01,6.953454e-01
17-07-02.1CBDHA,c13,2.161365e-01,1.056998e-01,1.602810e-01,-5.671775e-02,-6.192055e-01,-5.264502e-01
17-05-28.2CBDPA,c13,1.161411e-01,5.664763e-01,1.016545e-01,-1.185718e+00,-8.185734e-01,-9.707806e-02
17-07-02.5CBDPA,c13,-2.795906e-01,-1.246805e-01,1.108944e-01,-1.138977e+00,-5.830061e-01,1.719796e-01
17-06-24.4CBDHA,c13,-3.114181e-01,-3.993604e-01,-2.151254e-01,5.181915e-03,2.094248e-01,-4.644013e-01
17-06-22.4CBDPA,c13,9.136371e-04,-4.479858e-01,4.806815e-02,7.127599e-01,-2.528267e-02,-3.866347e-01
17-07-01.3CBDHA,c13,9.070310e-02,-2.771379e-01,2.417032e-01,-2.240428e-01,1.179240e+00,-4.201848e-02
17-09-17.1CBDHA,c13,5.597908e-01,2.038832e-01,5.379128e-01,-1.989803e-01,6.177525e-02,1.492110e+00
17-06-30.4CBDHA,c13,4.089695e-01,-1.515302e-01,8.855931e-01,3.674263e-01,9.992346e-02,8.663434e-02
17-09-24.1CBDHA,c13,-2.254712e-02,-2.637810e-01,-1.862681e-01,5.373059e-01,-1.369377e+00,1.802376e-01
17-06-24.1CBDHA,c13,4.631913e-01,7.277347e-01,4.041972e-01,5.592363e-01,1.328994e+00,-5.391069e-01
17-06-04.1CBDHA,c13,-1.263806e-01,3.434291e-01,-2.801210e-01,-3.331885e-01,-2.578669e-02,4.149594e-01
17-06-17.1CBDHA,c13,3.706566e-01,2.530635e-01,6.778420e-01,-8.443504e-02,2.102770e-01,1.510432e-01
17-07-01.1CBDHA,c13,7.484465e-02,-2.107970e-01,1.638993e-01,2.822847e-01,4.313842e-01,-5.918329e-01
17-06-17.2CBDHA,c13,3.914447e-01,1.382477e-01,4.649796e-01,2.827132e-02,9.428410e-01,-2.677269e-02
17-06-15.2CBDHA,c13,4.560917e-01,3.502864e-01,6.481987e-01,1.694270e-01,-3.943823e-01,5.619456e-01
17-06-15.4CBDHA,c13,9.321211e-01,7.358569e-01,1.009346e+00,-8.711796e-02,1.983835e-01,-1.012520e-01
17-07-02.3CBDHA,c13,7.736809e-01,5.605082e-01,8.327557e-01,8.956759e-02,8.311205e-01,-2.439078e-01
17-06-24.1CBDPA,c13,1.175447e-01,4.366868e-01,8.422412e-02,-3.474093e-01,4.482750e-01,7.562520e-01
17-07-01.2CBDHA,c13,2.740356e-01,7.511160e-01,3.332155e-01,-2.903586e-01,-9.388643e-01,-5.774020e-01
17-07-02.1CBDPA,c13,1.418301e+00,6.119012e-01,1.469282e+00,4.081056e-01,2.920894e-01,-2.743102e-02
17-05-21.1CBDPA,c13,-3.639877e-01,6.187761e-02,-2.934559e-01,6.089602e-01,8.328451e-01,-1.649738e-01
17-06-25.1CBDHA,c13,8.321579e-02,1.859938e-01,-2.757451e-01,-3.777340e-01,2.088128e-01,4.242101e-01
17-09-17.4CBDHA,c13,7.994842e-01,3.624237e-01,6.924154e-01,1.581532e-01,1.170964e+00,6.224219e-01
17-06-15.3CBDHA,c13,8.560182e-02,4.176846e-01,-7.046223e-02,-1.509164e-01,4.289023e-01,-9.389326e-01
17-05-20.1CBDPA,c13,7.150193e-01,1.005233e+00,4.931706e-01,-6.234103e-03,7.333772e-01,-9.110236e-01
17-06-23.1CBDHA,c13,9.090761e-02,1.446840e-01,5.682593e-01,4.365971e-01,5.721318e-01,2.371518e-01
17-05-29.3CBDPA,c13,9.685694e-01,1.028203e+00,9.560540e-01,4.198712e-01,2.484022e-01,-2.055426e-01
17-05-29.1CBDHA,c13,1.174835e+00,8.259199e-01,1.133157e+00,2.093710e-01,-3.249994e-01,6.745172e-01
17-06-23.3CBDHA,c13,4.653589e-02,4.601424e-01,-1.667766e-01,-2.022784e-01,6.719680e-01,2.674943e-01
17-06-30.3CBDHA,c13,4.762134e-01,8.383695e-01,5.587676e-01,-2.518850e-01,1.562798e-02,-5.507654e-01
17-06-25.3CBDPA,c13,8.067231e-01,6.198274e-01,1.012833e+00,-1.976430e-01,5.079351e-01,7.182395e-01
17-06-30.2CBDHA,c13,-5.055438e-01,-2.880035e-01,-4.678089e-01,7.283997e-01,9.928020e-01,1.774209e-01
17-05-28.2CBDHA,c13,4.921233e-01,2.600754e-01,4.574252e-01,-1.515214e-01,-7.878634e-01,-6.320113e-01
17-06-03.4CBDHA,c13,9.597610e-01,1.236729e+00,1.227963e+00,2.786532e-01,1.169470e+00,1.154909e+00
17-06-30.1CBDHA,c13,1.016821e+00,4.652680e-01,9.148221e-01,2.226777e-01,-3.269510e-01,2.232618e-01
17-07-01.1CBDPA,c13,2.652891e-01,5.915912e-01,3.646998e-01,1.278591e-01,7.829105e-01,3.972555e-01
17-06-22.3CBDPA,c13,3.167860e-01,2.043410e-01,4.358108e-02,6.838676e-01,8.519049e-01,-9.178260e-01
17-07-02.2CBDPA,c13,-2.287547e-02,-2.096679e-01,-3.228539e-01,-8.295058e-02,9.569295e-01,4.648170e-01
17-05-21.3CBDPA,c13,2.508010e-01,-5.063538e-01,5.920580e-01,-1.455660e-01,5.533286e-02,3.890982e-01
17-05-21.2CBDPA,c13,-3.644068e-02,-6.066351e-01,1.105625e-01,2.307719e-02,3.496282e-01,-4.784107e-01
17-05-21.3CBDHA,c13,7.455811e-01,1.398981e+00,7.321759e-01,2.842566e-01,1.177733e+00,-5.732384e-02
17-06-23.4CBDHA,c13,2.052239e-01,3.703691e-01,1.681442e-01,-4.207377e-01,-5.525808e-01,-9.017454e-01
17-05-21.2CBDHA,c13,-6.212551e-01,-2.831831e-01,-4.499484e-01,-2.331654e-03,7.560830e-02,-4.119293e-01
17-05-20.3CBDPA,c13,4.447250e-01,3.327112e-01,5.385624e-01,5.549080e-01,-4.209647e-01,6.203464e-01
17-06-25.4CBDPA,c13,1.072728e+00,7.867347e-01,9.804103e-01,8.669424e-02,4.621937e-01,-7.747440e-01
17-09-16.1CBDHA,c13,-2.828841e-01,-2.476396e-01,-2.808902e-01,1.395787e-02,1.850222e-01,-7.214580e-01
17-06-25.2CBDHA,c13,-8.106749e-02,2.498513e-01,-7.654594e-02,2.137126e-01,-5.748617e-01,-3.961441e-01
17-06-25.2CBDPA,c13,3.124562e-01,1.062179e-01,1.251461e-01,4.657399e-03,1.017987e+00,2.701012e-01
17-06-03.3CBDHA,c13,-3.108762e-01,-3.459351e-01,-3.414638e-01,-6.938325e-01,7.967121e-02,-7.952621e-01
17-07-01.5CBDPA,c13,1.717398e-01,5.784847e-01,-1.031409e-02,4.190524e-01,-3.342132e-01,5.443576e-02
17-05-29.2CBDHA,c13,2.931267e-01,3.638038e-01,4.566531e-01,-3.724581e-01,-4.324395e-01,-4.363859e-01
17-06-22.2CBDPA,c13,-1.178832e+00,-1.292925e+00,-1.087746e+00,-3.483309e-01,-5.582802e-01,-1.010126e+00
17-06-13.2CBDHA,c13,4.581856e-01,3.763828e-01,8.822076e-01,-9.145485e-02,-2.588186e-01,6.460638e-02
17-06-24.3CBDPA,c13,7.484112e-01,7.534786e-01,7.432851e-01,5.899096e-01,4.447062e-01,5.109690e-01
17-06-11.2CBDHA,c13,-1.498569e-01,-9.037558e-02,-1.653339e-01,1.421678e-01,1.521247e-01,-5.187467e-01
17-06-18.4CBDHA,c13,-4.364321e-01,-6.860077e-01,-4.129114e-01,-3.756954e-01,-3.340028e-01,-8.946823e-01
17-06-24.2CBDHA,c13,3.961910e-01,6.186109e-01,6.214871e-01,-4.336287e-01,-2.420445e-01,-1.061864e+00
17-06-23.2CBDHA,c13,-5.545417e-01,1.442606e-01,-4.261243e-01,2.587977e-01,-1.649302e-01,3.844391e-01
17-07-01.4CBDPA,c13,-7.145287e-02,6.762124e-01,-2.719938e-01,-1.179693e-01,9.473430e-01,-7.915650e-01
17-04-29.1CBDPC,c13,4.376808e-01,4.988546e-01,7.641538e-01,-4.372769e-03,3.890903e-01,9.715410e-01
16-08-14.1CBDPC,c13,3.398716e-02,-3.115196e-01,2.840679e-02,-4.995118e-01,7.595888e-03,-7.807803e-01
16-08-17.3CBDPC,c13,9.840541e-02,-5.001566e-01,-8.509428e-02,2.406131e-01,1.207306e-01,-2.417903e-01
17-05-28.2CBDPC,c13,-2.478569e-01,-1.728454e-01,-4.077837e-01,5.443406e-02,-7.047427e-01,-5.965826e-01
17-08-28.1CBDHC,c13,-3.001766e-01,-5.624387e-02,-1.364378e-01,-1.087018e-01,1.765689e-01,4.799537e-01
17-07-17.1CBDHC,c13,1.146895e-01,-1.394364e-01,2.597275e-01,-1.727288e-01,-2.640213e-01,-5.213558e-02
16-08-29.1CBDPC,c13,1.803153e-01,-2.498059e-01,3.041750e-01,4.670259e-01,2.782851e-01,1.903103e+00
16-10-06.2CBDPC,c13,1.090029e-01,1.607510e-01,5.292008e-02,9.378779e-02,-4.063040e-01,-1.556789e-01
17-04-30.4CBDHC,c13,7.085968e-03,1.422775e-02,-2.136731e-02,5.745321e-01,4.818279e-01,-3.704454e-01
17-01-18.2CBDPC,c13,4.880357e-01,8.464304e-01,3.220015e-01,-6.163864e-02,1.046206e+00,1.191896e+00
17-08-12.2CBDHC,c13,-5.905734e-01,-5.225937e-01,2.117959e-02,9.513830e-01,-2.103387e-01,3.050030e-01
17-04-23.4CBDHC,c13,-2.883684e-01,6.776281e-01,-3.555695e-01,6.552327e-01,3.939908e-01,4.889011e-02
16-12-24.2CBDPC,c13,1.184626e-01,1.727577e-01,1.433777e-01,-6.197340e-01,2.564620e-01,-6.958048e-01
17-08-12.1CBDHC,c13,2.379082e-01,1.991861e-01,2.740290e-01,1.280920e-01,4.114308e-01,7.597850e-01
16-10-22.2CBDPC,c13,1.619651e-01,2.685339e-01,2.183185e-01,-1.695563e-01,-2.652697e-01,3.104325e-01
16-12-27.2CBDPC,c13,7.094410e-01,-3.855848e-01,9.905470e-01,5.505440e-01,2.656801e-01,-4.743599e-02
17-08-24.2CBDHC,c13,-2.208842e-01,2.614092e-01,6.060559e-02,-9.690008e-03,1.666072e-01,-8.953385e-01
17-09-17.2CBDHC,c13,7.559610e-02,1.084643e-01,1.796191e-01,6.186483e-01,2.528908e-01,1.093966e+00
17-04-09.1CBDPC,c13,-4.509935e-01,-7.763715e-01,-3.541053e-01,-3.454545e-01,-3.991565e-01,9.781758e-03
17-04-30.3CBDHC,c13,-2.191118e-01,2.033744e-01,7.634742e-02,4.697287e-02,-1.974605e-01,-7.832564e-02
16-11-13.1CBDPC,c13,-6.401699e-02,3.585012e-01,1.010536e-01,4.716829e-01,-1.736914e-01,-1.385231e-01
17-01-17.3CBDPC,c13,-5.982299e-01,-5.852855e-02,-7.289852e-01,-3.276541e-01,-1.754497e-01,-1.450714e-01
16-09-11.4CBDPC,c13,-7.865624e-02,-2.225654e-01,-1.425020e-01,-2.676461e-01,5.477211e-01,4.621302e-01
16-08-11.1CBDPC,c13,-5.527250e-01,-6.864032e-01,-4.728965e-01,2.215635e-01,-8.181413e-01,6.482790e-01
